Table 2.4. 6: Employment opportunities change in private establishments and business oriented public and private partnership by economic activity from 2014 to 2023,,,,,
,,,,,
Economic Activity (ISIC level I),2014.0,2017.0,2020,2023,% change 
,,,,,(2020-2023)
"Agriculture, forestry and fishing",26273.0,31870.0,16667,22552,35.30929381412371
Mining and quarrying,16182.0,14765.0,15793,32860,108.06686506680174
Manufacturing,39581.0,66650.0,72973,90034,23.379880229673986
"Electricity, gas, steam and air conditioning supply",1747.0,1740.0,946,2279,140.9090909090909
"Water supply, sewage, waste management and remediation activities",704.0,2650.0,4814,4127,-14.270876609887829
Construction,5087.0,8523.0,4617,8384,81.58977691141433
Whole sale and retail trade; repair of motor vehicles and motorcycles,120419.0,141054.0,188620,243075,28.87021524758775
Transportation and storage,4532.0,11442.0,11490,11930,3.829416884247161
Accommodation and food service activities,82040.0,93208.0,83626,118422,41.60906894984813
Information and communication,1824.0,3060.0,3597,6832,89.93605782596607
Financial and insurance activities,11195.0,11827.0,12464,19945,60.02086007702183
Real estate activities,9.0,679.0,1296,935,-27.854938271604933
"Professional, scientific and technical activities",2861.0,4046.0,5668,10065,77.57586450247001
Administrative and support services activities,11045.0,22199.0,20251,32090,58.461310552565315
Education,17636.0,15170.0,20057,30219,50.66560303136063
Human health and social work activities,9323.0,4910.0,10554,12025,13.93784347166951
"Arts, entertainment and recreation",4109.0,1684.0,1139,2673,134.6795434591747
Other services activities,857.0,30691.0,64671,53704,-16.95814198017659
Not stated ,459.0,38.0, -, -,0
Total,355883.0,466206.0,539243,702151,30.210498791824847
