Table 4.50: Distribution of enterprises by district and by location in 2020 and 2023,,,,,,
,,,,,,
District/Province,2020,,,2023,,
,Counts,,,Counts,,
,Total,Urban,Rural,Total,Urban,Rural
 Nyarugenge,19532,17902,1630,22130,21505,625
 Gasabo,19262,15666,3596,24503,22321,2182
 Kicukiro,14606,13425,1181,16608,16559,49
Kigali City,53400,46993,6407,63241,60385,2856
 Nyanza,4805,1626,3179,5129,1651,3478
 Gisagara,3888,210,3678,4302,367,3935
 Nyaruguru,3743,216,3527,4256,262,3994
 Huye,5592,2382,3210,6088,2597,3491
 Nyamagabe,6086,1042,5044,6571,1557,5014
 Ruhango,4969,1600,3369,5579,1787,3792
 Muhanga,7454,2913,4541,8016,3450,4566
 Kamonyi,7022,1477,5545,8820,3569,5251
South Province,43559,11466,32093,48761,15240,33521
 Karongi,4846,946,3900,5894,1291,4603
 Rutsiro,5683,250,5433,6332,726,5606
 Rubavu,11553,7532,4021,12650,9858,2792
 Nyabihu,4345,1218,3127,4828,2028,2800
 Ngororero,4934,824,4110,6163,1083,5080
 Rusizi,7442,2667,4775,8563,4714,3849
 Nyamasheke,6263,259,6004,6038,1087,4951
West Province,45066,13696,31370,50468,20787,29681
 Rulindo,5112,230,4882,5877,1122,4755
 Gakenke,5074,525,4549,6123,702,5421
 Musanze,11010,6496,4514,12934,9167,3767
 Burera,4609,308,4301,6121,1254,4867
 Gicumbi,7777,1391,6386,8507,1343,7164
North Province,33582,8950,24632,39562,13588,25974
 Rwamagana,7806,1917,5889,9432,4990,4442
 Nyagatare,8147,1987,6160,9315,3752,5563
 Gatsibo,6604,1016,5588,7336,1705,5631
 Kayonza,6908,1469,5439,8097,2181,5916
 Kirehe,6897,435,6462,7453,975,6478
 Ngoma,5739,641,5098,6945,1355,5590
 Bugesera,8651,2174,6477,10939,6172,4767
East Province,50752,9639,41113,59517,21130,38387
Rwanda,226359,90744,135615,261549,131130,130419
