Table 4.48: Employment opportunities change in private establishments and business oriented public and private partnership by district from 2014 to 2023,,,,
,,,,
District/ Province,2014.0,2017.0,2020.0,2023.0
Nyarugenge,50859.0,83892.0,66603.0,89758.0
Gasabo,43915.0,73327.0,90503.0,130859.0
Kicukiro,25863.0,55392.0,46483.0,75055.0
Kigali City,120637.0,212611.0,203589.0,295672.0
Nyanza,6982.0,10643.0,14473.0,14624.0
Gisagara,5762.0,9019.0,13129.0,15486.0
Nyaruguru,6045.0,14677.0,13608.0,18949.0
Huye,10908.0,14247.0,27715.0,26394.0
Nyamagabe,8384.0,16478.0,16368.0,21384.0
Ruhango,5912.0,11075.0,12219.0,17051.0
Muhanga,10181.0,17623.0,19882.0,22411.0
Kamonyi,9112.0,13423.0,16194.0,24563.0
South Province,63286.0,107185.0,133588.0,160862.0
Karongi,8186.0,15249.0,18997.0,24424.0
Rutsiro,6855.0,12926.0,14395.0,19423.0
Rubavu,13001.0,23135.0,31549.0,34406.0
Nyabihu,6602.0,11246.0,11529.0,21090.0
Ngororero,7894.0,12100.0,12400.0,23077.0
Rusizi,10610.0,19840.0,21985.0,26866.0
Nyamasheke,7704.0,12743.0,19731.0,22340.0
West Province,60852.0,107239.0,130586.0,171626.0
Rulindo,12784.0,16827.0,22681.0,28595.0
Gakenke,9323.0,12555.0,14164.0,20954.0
Musanze,14104.0,23510.0,28862.0,36010.0
Burera,8764.0,12313.0,12232.0,17938.0
Gicumbi,12671.0,18233.0,22188.0,24757.0
North Province,57646.0,83438.0,100127.0,128254.0
Rwamagana,10223.0,16894.0,20357.0,27819.0
Nyagatare,12768.0,16037.0,21669.0,26879.0
Gatsibo,8388.0,12272.0,18127.0,23422.0
Kayonza,7967.0,14339.0,19934.0,23289.0
Kirehe,8556.0,14714.0,16181.0,21997.0
Ngoma,8662.0,14276.0,17844.0,18520.0
Bugesera,11492.0,17732.0,24138.0,29399.0
East Province,68056.0,106264.0,138250.0,171325.0
Rwanda,370477.0,616737.0,706140.0,927739.0
